text,label
"Breaking: Celebrity endorses miracle cure for COVID. Experts warn it's fake.",0
"Government announces new education policy focusing on digital literacy.",1
"Scientists discover water on Mars, NASA confirms in press briefing.",1
"Shocking! Drinking hot water every hour kills all viruses instantly.",0
"Local elections see record turnout as voters line up from dawn.",1
"Exclusive: Secret formula to double your money overnight revealed!",0
"University study shows exercise improves mental health outcomes.",1
"Click here to claim your free iPhone! Limited time only!",0
"Parliament passes bill to reduce air pollution in major cities.",1
"Doctors advise against unproven home remedies circulating online.",1
